"pedoman pelaksanaan sekolah lapang pengelolaan tanaman terpadu SL-PTT";"Badan Penelitian dan Pengembangan Pertanian";;"Badan Penelitian Dan Pengembangan Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/pedoman pelaksanaan sekolah lapang pengelolaan tanaman terpadu SL-PTT"
"Pedoman Penguatan Komisi pengawasan pupuk dan pestisida";"Direktorat Pupuk dan Pestisida";;"Direktorat Jenderal Prasarana Dan Sarana Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/Pedoman Penguatan Komisi pengawasan pupuk dan pestisida"
"Pedoman teknis antisipasi perubahan dampak iklim 2013";"Direktorat Jenderal Perkebunan";;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/Pedoman teknis antisipasi perubahan dampak iklim 2013"
"Pedoman Teknis Gerakan Nasional Kakao 2013";"Direktorat Jenderal Perkebunan";;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/Pedoman Teknis Gerakan Nasional Kakao 2013"
"pedoman teknis insentif pengawas 2013";"Direktorat Jenderal Perkebunan";;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/pedoman teknis insentif pengawas 2013"
"Media Informasi dan Komunikasi Balai";"Balai Pengawasan Mutu Pakan Ternak";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/folder/Media Informasi dan Komunikasi Balai"
"Newsletter Pusdatin vol 5 no 95 2012";"Pusat Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/folder/Newsletter Pusdatin vol 5 no 95 2012"
"Newsletter Pusdatin vol 9 no 94 2012";"Pusat Data dan Sistem Informasi Pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/folder/Newsletter Pusdatin vol 9 no 94 2012"
"pedoman teknis koordinasi kegiatan pengembangan tanaman rempah dan penyegar 2013";"Direktorat Jenderal Perkebunan";;"Direktorat Jenderal Perkebunan";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Pedoman/pedoman teknis koordinasi kegiatan pengembangan tanaman rempah dan penyegar 2013"
"Buletin Analisa Perkembangan Harga Komoditas Pertanian Pebruari 2013.pdf";"Pusat data dan sisten informasi pertanian";;"Pusat Data Dan Sistem Informasi Pertanian";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Buletin/Buletin Analisa Perkembangan Harga Komoditas Pertanian Pebruari 2013.pdf"
